Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5",0805,5,1u,
C6,0805,1,4.7u,
"D1, D2",D_SMA,2,M4,
D3,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_IRBlack,1,IR204A,
"J1, J2","TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",2,EXTMOS,
J3,TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal,1,Screw_Terminal_01x02,
"K1, K2",Relay_SPDT_SANYOU_SRD_Series_Form_C,2,SANYOU_SRD_Form_C,
"Q1, Q3, Q4, Q5",SOT-23,4,Q_NPN_BEC,
"Q2, Q6",TO-220-3_Vertical,2,IRF540N,
"R1, R10, R13, R15, R17, R18",0805,6,10k,
"R11, R16",0805,2,100,
"R12, R24, R25, R7",2512,4,30m,
"R14, R6, R9",0805,3,1k,
"R19, R8",0805,2,100k,
"R2, R20, R21, R22, R23, R3, R4, R5",0805,8,10,
"RV1, RV2",Potentiometer_ACP_CA9-H5_Horizontal,2,100k,C118929
U1,WEMOS_S2_mini,1,WeMos_S2_mini,
"U2, U4",SOT-23-5,2,INA180A1,
"U3, U5",SOIC-8_3.9x4.9mm_P1.27mm,2,LM393,
U6,SOT-23-5_HandSoldering,1,TPS709,
