Designator,Mid X,Mid Y,Rotation,Layer
C1,105.7606,-139.535,270.0,top
C2,132.9933,-112.3371,0.0,top
C3,96.304,-125.7515,90.0,top
C4,106.643963,-104.303138,270.0,top
C5,133.876663,-77.105239,0.0,top
C6,88.646,-125.73,90.0,top
D1,110.739,-139.662,0.0,top
D2,111.622363,-104.430138,0.0,top
D3,76.0984,-121.92,270.0,top
J1,157.9828,-118.5496,90.0,top
J2,158.866163,-83.317738,90.0,top
J3,91.699,-135.082,0.0,top
K1,139.654,-130.9916,90.0,top
K2,140.537363,-95.759738,90.0,top
Q1,110.4111,-114.643,180.0,top
Q2,122.509,-138.8872,180.0,top
Q3,114.9323,-114.5516,0.0,top
Q4,111.294463,-79.411139,180.0,top
Q5,115.815663,-79.319739,0.0,top
Q6,123.392363,-103.655338,180.0,top
R1,106.8528,-134.7598,180.0,top
R10,106.3956,-113.0174,0.0,top
R11,119.3496,-115.786,180.0,top
R12,142.1178,-115.1584,90.0,top
R13,119.3242,-112.5348,180.0,top
R14,107.177363,-81.290739,0.0,top
R15,107.278963,-77.785539,0.0,top
R16,120.232963,-80.554139,180.0,top
R17,107.736163,-99.527938,180.0,top
R18,120.207563,-77.302939,180.0,top
R19,149.620763,-83.398939,180.0,top
R2,112.9507,-124.8792,180.0,top
R20,113.834063,-89.647338,180.0,top
R21,113.859463,-94.117738,180.0,top
R22,109.947863,-89.698138,180.0,top
R23,109.998663,-94.092338,180.0,top
R24,138.111163,-79.926539,90.0,top
R25,143.001163,-79.926539,90.0,top
R3,112.9761,-129.3496,180.0,top
R4,109.0645,-124.93,180.0,top
R5,109.1153,-129.3242,180.0,top
R6,82.5754,-123.3986,180.0,top
R7,137.2278,-115.1584,90.0,top
R8,148.7374,-118.6308,180.0,top
R9,106.294,-116.5226,0.0,top
RV1,124.2268,-126.9982,90.0,top
RV2,125.110163,-91.766338,90.0,top
U1,85.3694,-101.9048,270.0,top
U2,132.9538,-115.5375,270.0,top
U3,125.5218,-119.2404,270.0,top
U4,133.837163,-80.305639,270.0,top
U5,126.405163,-84.008539,270.0,top
U6,92.456,-125.73,0.0,top
